classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed:23
org::eclipse::jdt::internal::compiler::parser::RecoveredInitializer,9,3,1,8,45,0,7,126,166.0,10.0,44,0,0,7.0,10,40.0,39.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::WeakHashSetOfCharArray,3,1,0,3,45,0,4,0,144.0,10.0,8,0,3,4.0,7,40.0,37.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::Expression,108,3,92,18,528,15,4,380,760.0,33.0,38,0,2,4.0,31,281.0,234.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations,5,3,3,3,10,1,1,13,35.0,5.0,55,0,0,0.0,1,12.0,13.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::ConstantPool,3,2,1,2,10,0,3,0,72.0,5.0,22,3,1,0.0,3,55.0,15.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference,7,6,5,3,15,2,2,385,52.0,6.0,95,0,0,2.0,5,17.0,12.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::impl::IntConstant,5,2,5,0,66,0,16,152,55.0,12.0,41,15,1,1.0,11,14.0,27.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern,7,4,1,6,28,0,15,61,214.0,8.0,45,0,0,10.0,5,47.0,53.0,1,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression,5,6,1,4,3,0,0,394,32.0,3.0,102,0,0,0.0,3,17.0,11.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::SuperFieldAccess,5,3,1,5,105,0,5,95,96.0,15.0,73,3,0,0.0,6,51.0,25.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot,6,5,1,5,78,0,1,62,56.0,13.0,202,0,0,0.0,8,22.0,20.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::MethodScope,55,3,44,15,105,0,12,274,378.0,15.0,103,0,2,12.0,11,93.0,110.0,1,1,0,0,0,
org::eclipse::jdt::internal::compiler::CompilationResult,31,1,24,7,190,0,24,0,245.0,20.0,8,3,3,21.0,17,72.0,72.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::util::KeyToSignature,5,2,2,3,300,0,13,2,258.0,25.0,41,8,1,1.0,24,130.0,56.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::jdom::DOMType,14,4,4,11,703,0,14,50,419.0,38.0,185,0,0,0.0,20,162.0,94.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::ForStatement,11,3,0,11,15,0,11,380,343.0,6.0,38,2,0,9.0,6,106.0,91.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding,3,5,1,2,10,0,0,58,34.0,5.0,179,0,0,0.0,4,12.0,7.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::TrueLiteral,3,6,1,2,21,0,1,384,39.0,7.0,79,0,0,0.0,7,14.0,11.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3,1,7,1,0,15,0,1,419,21.0,6.0,118,1,0,0.0,6,10.0,6.0,0,0,0,0,0,
org::eclipse::jdt::internal::formatter::FormatJavadocText,6,2,3,4,136,0,7,119,197.0,17.0,16,1,1,6.0,7,54.0,68.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ImportDeclarationElementInfo,1,4,1,0,0,0,0,7,0.0,1.0,28,0,0,0.0,1,1.0,0.0,0,0,0,0,0,
org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader,5,1,2,3,55,2,7,0,81.0,11.0,28,7,0,0.0,5,29.0,21.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::NormalAnnotation,6,5,4,2,10,1,1,388,45.0,5.0,78,0,0,1.0,5,13.0,16.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding,55,4,32,32,1275,1,15,49,1461.0,51.0,148,8,2,7.0,43,446.0,456.0,6,0,1,0,0,
org::eclipse::jdt::internal::core::SetContainerOperation,14,3,1,13,15,0,3,19,167.0,6.0,67,0,4,3.0,1,51.0,36.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding,13,1,8,6,45,1,2,0,151.0,10.0,8,0,3,2.0,6,53.0,53.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::LRUCacheEnumerator,1,1,1,0,3,0,1,0,11.0,3.0,8,0,0,0.0,3,3.0,3.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::JavaModelInfo,3,3,1,2,3,0,1,3,27.0,3.0,17,0,1,1.0,1,7.0,8.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::MethodDeclaration,15,3,8,9,595,0,23,97,319.0,35.0,84,11,0,0.0,18,156.0,81.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::AndPattern,2,5,1,2,10,0,2,61,50.0,5.0,49,0,1,1.0,1,10.0,15.0,1,0,0,0,0,
org::eclipse::jdt::internal::eval::CodeSnippetSuperReference,3,7,1,2,28,0,0,398,25.0,8.0,107,0,0,0.0,8,10.0,8.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::OrPattern,8,3,2,7,28,0,2,52,69.0,8.0,27,0,0,1.0,5,24.0,25.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::util::HashSetOfArray,5,1,1,4,36,0,3,0,109.0,9.0,16,0,2,3.0,7,30.0,31.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::ClassFileStruct,35,1,32,3,55,16,0,0,85.0,11.0,8,0,0,0.0,0,16.0,21.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference,7,6,2,5,10,0,0,385,35.0,5.0,95,0,0,0.0,4,24.0,11.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::env::AccessRuleSet,16,1,11,5,10,0,3,0,62.0,5.0,8,1,0,2.0,5,18.0,22.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::indexing::IndexAllProject,13,2,1,13,15,0,1,8,207.0,6.0,19,0,0,1.0,5,58.0,30.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::codegen::ObjectCache,3,1,1,2,36,0,4,0,83.0,9.0,8,0,1,4.0,8,24.0,25.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::ClassFileAttribute,7,2,4,3,6,17,4,0,18.0,4.0,22,3,0,0.0,4,10.0,5.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::ForeachStatement,19,3,0,19,15,0,21,380,451.0,6.0,38,11,0,10.0,6,172.0,84.0,2,0,0,0,0,
org::eclipse::jdt::core::dom::NodeEventHandler,1,1,1,0,55,1,0,0,43.0,11.0,8,0,0,0.0,0,11.0,11.0,0,0,0,0,0,
org::eclipse::jdt::internal::eval::CodeSnippetClassFile,13,2,1,12,1,0,0,270,166.0,2.0,48,0,0,0.0,2,42.0,29.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext,8,2,1,7,28,0,7,141,264.0,8.0,35,0,0,7.0,5,85.0,63.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::SourceJavadocParser,6,3,1,5,6,0,2,135,107.0,4.0,67,0,0,2.0,2,24.0,49.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding,11,4,6,6,15,0,2,49,64.0,6.0,148,0,0,2.0,2,18.0,18.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::CreateImportOperation,17,3,2,15,21,0,2,25,83.0,7.0,82,0,0,0.0,3,49.0,20.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::builder::ReferenceCollection,8,1,3,5,10,1,10,0,140.0,5.0,8,0,0,4.0,4,37.0,48.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression,8,5,0,8,21,0,2,412,70.0,7.0,94,0,0,2.0,7,39.0,18.0,1,0,0,0,0,
org::eclipse::jdt::core::dom::NodeSearcher,1,2,1,0,1,0,3,0,11.0,2.0,11,0,0,3.0,1,2.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::AnnotationComponent,5,2,1,4,10,0,4,0,27.0,5.0,22,4,0,0.0,4,12.0,7.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::BreakStatement,4,3,1,3,66,0,3,95,59.0,12.0,73,2,0,0.0,3,35.0,16.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ASTHolderCUInfo,1,4,1,0,0,0,5,6,0.0,1.0,21,0,0,5.0,1,1.0,0.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType,2,4,1,1,3,0,0,410,12.0,3.0,66,0,0,0.0,3,5.0,3.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::ImportReference,20,2,20,0,10,5,7,380,35.0,5.0,27,0,0,7.0,5,10.0,10.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::builder::ClasspathJar,11,2,2,9,45,0,8,0,108.0,10.0,18,0,0,8.0,9,51.0,34.0,0,0,0,0,0,
org::eclipse::jdt::internal::eval::VariablesInfo,3,1,2,1,3,0,5,0,25.0,3.0,8,0,0,5.0,1,5.0,7.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::DeleteResourceElementsOperation,9,3,1,8,10,0,0,22,90.0,5.0,78,0,1,0.0,0,34.0,30.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::InternalNamingConventions,11,1,1,10,55,0,1,0,377.0,11.0,8,1,7,0.0,4,89.0,80.0,2,0,0,0,0,
org::eclipse::jdt::internal::core::search::IndexQueryRequestor,6,1,6,0,1,5,0,0,0.0,2.0,8,0,0,0.0,2,2.0,0.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext,4,2,1,3,10,2,2,141,23.0,5.0,35,0,0,2.0,5,13.0,6.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::LineComment,4,3,2,2,36,0,1,95,31.0,9.0,75,1,0,0.0,1,19.0,9.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference,6,7,2,4,3,2,2,419,30.0,3.0,115,0,0,2.0,3,12.0,8.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement,9,3,8,1,28,2,1,380,31.0,8.0,38,0,0,1.0,8,14.0,11.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ProcessTaskManager,5,1,1,5,10,0,11,0,140.0,5.0,16,3,1,8.0,4,28.0,25.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::SwitchStatement,6,3,1,5,91,0,5,95,86.0,14.0,73,3,0,0.0,4,48.0,22.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator,4,2,1,4,21,0,1,68,67.0,7.0,33,0,0,0.0,4,18.0,25.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::SourceMethod,20,6,4,18,378,1,1,69,222.0,28.0,227,0,0,0.0,22,126.0,57.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder,28,2,1,28,36,0,4,17,423.0,9.0,19,0,3,0.0,3,149.0,56.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::CommentRecorderScanner,2,2,1,1,1,0,0,219,10.0,2.0,55,0,0,0.0,2,3.0,3.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::util::StackMapAttribute,4,3,1,3,6,0,5,1,33.0,4.0,31,5,0,0.0,4,9.0,7.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::SuperMethodInvocation,6,3,1,6,171,0,10,95,136.0,19.0,73,6,0,0.0,9,72.0,38.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall,6,4,1,5,3,0,0,393,41.0,3.0,61,0,0,0.0,3,18.0,14.0,0,0,0,0,0,
org::eclipse::jdt::internal::formatter::old::CodeFormatter,6,1,1,5,1,0,1,114,131.0,2.0,9,1,0,0.0,2,38.0,24.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::CaptureBinding,8,5,1,7,45,0,5,55,210.0,10.0,171,0,0,5.0,10,70.0,47.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding,7,3,4,4,10,1,1,37,34.0,5.0,72,0,0,0.0,5,13.0,6.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::FieldDeclaration,38,4,17,23,28,5,4,396,241.0,8.0,57,0,0,4.0,8,105.0,87.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::InferenceContext,6,1,3,3,15,0,9,0,116.0,6.0,8,1,0,6.0,6,34.0,31.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::AssertStatement,5,3,1,4,91,0,5,95,98.0,14.0,73,3,0,0.0,5,49.0,24.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern,2,4,1,1,3,0,1,61,17.0,3.0,45,0,0,0.0,1,7.0,4.0,1,0,0,0,0,
org::eclipse::jdt::core::dom::InternalASTRewrite,12,2,1,11,105,0,5,0,163.0,15.0,19,1,4,1.0,3,88.0,35.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader,22,3,7,15,630,0,23,8,724.0,36.0,37,23,8,0.0,28,210.0,246.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::JavaSearchParticipant,10,2,3,7,28,0,1,0,46.0,8.0,18,0,0,1.0,8,25.0,12.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ImportContainer,11,4,1,11,55,1,0,52,63.0,11.0,127,0,0,0.0,6,34.0,22.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::TypeParameter,6,2,1,6,105,0,5,95,91.0,15.0,68,3,0,0.0,5,50.0,23.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer,8,1,7,1,45,0,4,0,34.0,10.0,8,0,0,4.0,10,12.0,14.0,0,0,0,0,0,
org::eclipse::jdt::core::CompletionContext,3,2,1,2,120,0,5,11,123.0,16.0,18,0,0,0.0,16,43.0,31.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::index::EntryResult,7,1,4,4,15,0,3,0,56.0,6.0,8,3,0,0.0,6,16.0,19.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::problem::AbortCompilation,13,1,9,4,1,1,6,0,14.0,2.0,23,1,0,5.0,2,11.0,5.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::SynchronizedStatement,6,3,1,5,91,0,5,95,106.0,14.0,73,3,0,0.0,5,54.0,27.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::DefaultCommentMapper,6,1,2,5,78,0,10,0,393.0,13.0,8,0,1,9.0,4,67.0,102.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::EnclosingMethodAttribute,4,3,1,3,28,0,7,1,50.0,8.0,36,7,0,0.0,7,23.0,13.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::ArrayInitializer,16,4,3,13,15,0,2,384,195.0,6.0,69,0,0,2.0,6,75.0,56.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName,1,3,1,0,1,0,0,384,9.0,2.0,31,0,0,0.0,2,5.0,2.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::impl::ShortConstant,3,2,3,0,66,0,1,152,37.0,12.0,41,1,1,0.0,11,14.0,12.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::OrLocator,5,2,1,5,36,0,1,68,124.0,9.0,33,0,0,0.0,5,30.0,44.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::OpenableElementInfo,3,2,3,0,3,6,1,2,6.0,3.0,14,0,0,0.0,3,3.0,2.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue,0,7,0,0,1,0,2,388,7.0,2.0,87,0,0,0.0,2,2.0,2.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::AndLocator,1,2,1,1,21,0,2,68,74.0,7.0,33,0,0,2.0,4,17.0,25.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::codegen::CharArrayCache,4,1,2,2,55,0,4,0,118.0,11.0,8,0,2,4.0,9,33.0,36.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::MethodLocator,26,2,1,26,190,0,4,68,526.0,20.0,33,1,4,1.0,5,176.0,175.0,3,0,0,0,0,
org::eclipse::jdt::core::BufferChangedEvent,2,1,2,0,10,0,4,0,18.0,5.0,16,4,0,0.0,5,5.0,5.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::NullBuffer,1,2,1,0,0,0,0,11,3.0,1.0,47,0,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::ReturnStatement,3,3,1,2,66,0,3,95,60.0,12.0,73,2,0,0.0,3,35.0,16.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::CopyPackageFragmentRootOperation,15,2,2,13,15,1,4,18,223.0,6.0,62,0,0,4.0,2,104.0,46.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::MultiOperation,18,2,7,11,136,4,4,18,165.0,17.0,62,0,1,0.0,2,81.0,56.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::ProjectReferenceChange,5,1,3,2,3,0,2,0,77.0,3.0,8,2,0,0.0,3,12.0,12.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::QualifiedSuperReference,7,7,1,6,15,1,0,386,38.0,6.0,97,0,0,0.0,6,17.0,10.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::search::processing::JobManager,15,1,10,6,120,1,10,0,383.0,16.0,16,2,0,2.0,13,122.0,93.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::MemberDeclarationVisitor,6,2,0,6,21,0,16,0,142.0,7.0,11,7,2,9.0,3,23.0,39.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::SimpleName,62,4,58,5,105,0,4,97,124.0,15.0,79,3,0,0.0,4,47.0,32.0,0,0,0,0,0,
org::eclipse::jdt::internal::eval::CodeSnippetToCuMapper,4,1,2,2,21,0,12,14,233.0,7.0,8,0,1,12.0,6,32.0,24.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::builder::JavaBuilder,25,1,7,21,465,0,14,0,661.0,31.0,0,0,15,13.0,11,319.0,196.0,0,0,0,0,0,
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,7,4,1,7,136,0,5,99,98.0,17.0,100,1,0,0.0,1,57.0,26.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::util::SimpleNameVector,3,1,1,2,45,0,4,0,64.0,10.0,8,0,0,4.0,10,20.0,18.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::SearchableEnvironment,17,1,4,13,66,1,6,48,144.0,12.0,11,0,4,1.0,5,54.0,38.0,1,0,0,0,0,
org::eclipse::jdt::core::dom::LabeledStatement,6,3,1,5,91,0,5,95,107.0,14.0,73,3,0,0.0,5,53.0,27.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::AbstractSearchScope,1,1,1,0,10,2,0,5,12.0,5.0,14,0,0,0.0,5,5.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::hierarchy::HierarchyBuilder,22,1,5,18,55,2,5,0,242.0,11.0,8,0,0,0.0,3,89.0,51.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::Argument,23,5,13,11,28,2,1,397,132.0,8.0,64,1,0,0.0,8,56.0,38.0,0,0,0,0,0,
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser,10,2,1,9,36,0,5,0,186.0,9.0,11,5,7,0.0,2,44.0,32.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::JavaElementFinder,9,2,0,9,66,0,5,2,89.0,12.0,41,3,1,2.0,11,54.0,26.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::flow::ConditionalFlowInfo,2,2,1,2,496,0,2,8,145.0,32.0,46,0,0,2.0,31,68.0,43.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::JavaWorkspaceScope,12,3,2,11,36,0,1,5,155.0,9.0,21,1,0,0.0,9,60.0,40.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::MoveResourceElementsOperation,1,4,1,0,3,1,0,37,9.0,3.0,85,0,0,0.0,1,3.0,3.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::BatchInitializationMonitor,1,1,1,0,45,0,3,0,55.0,10.0,8,0,1,3.0,9,27.0,18.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::util::Util,61,1,44,17,171,0,6,12,513.0,19.0,8,2,1,0.0,18,143.0,120.0,1,0,0,0,0,
org::eclipse::jdt::internal::core::CancelableProblemFactory,1,2,0,1,1,0,1,1,9.0,2.0,18,0,0,1.0,2,6.0,4.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::LocalVariable,20,4,5,15,300,0,7,52,222.0,25.0,129,0,3,7.0,16,78.0,55.0,1,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::MethodDeclaration,21,3,7,15,28,4,2,408,198.0,8.0,58,0,0,2.0,8,59.0,69.0,2,0,0,0,0,
org::eclipse::jdt::internal::core::ResolvedBinaryType,5,8,4,2,15,0,1,82,26.0,6.0,319,1,0,0.0,5,11.0,7.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::lookup::InnerEmulationDependency,1,1,1,0,0,0,2,0,4.0,1.0,8,0,0,2.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::CreateTypeOperation,11,4,3,8,28,0,0,28,62.0,8.0,91,0,1,0.0,2,35.0,16.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::hierarchy::RegionBasedHierarchyBuilder,12,2,1,11,21,0,0,5,156.0,7.0,19,0,5,0.0,2,61.0,31.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::util::PublicScanner,9,1,0,9,1225,0,107,114,3449.0,50.0,20,2,3,44.0,41,374.0,1169.0,0,0,0,0,0,
org::eclipse::jdt::internal::compiler::ast::Block,16,3,12,4,45,0,3,380,97.0,10.0,38,0,0,3.0,10,32.0,30.0,0,0,0,0,0,
org::eclipse::jdt::internal::core::search::matching::MatchLocator,102,1,17,90,1431,0,27,0,1531.0,54.0,9,2,4,24.0,19,572.0,419.0,5,0,1,0,0,
